año,municipio,poblacion,pct_poverty,median_hh_income,pct_unemployment,pct_bachelors_plus,median_age,area_km2,densidad_pob_km2,fuente
1950,Adjuntas,22353.0,,,,,,68.0,328.7,estimado_poblacion
1951,Adjuntas,22079.0,,,,,,68.0,324.7,estimado_poblacion
1952,Adjuntas,21801.0,,,,,,68.0,320.6,estimado_poblacion
1953,Adjuntas,21527.0,,,,,,68.0,316.6,estimado_poblacion
1954,Adjuntas,21247.0,,,,,,68.0,312.5,estimado_poblacion
1955,Adjuntas,20971.0,,,,,,68.0,308.4,estimado_poblacion
1956,Adjuntas,20696.0,,,,,,68.0,304.4,estimado_poblacion
1957,Adjuntas,20419.0,,,,,,68.0,300.3,estimado_poblacion
1958,Adjuntas,20143.0,,,,,,68.0,296.2,estimado_poblacion
1959,Adjuntas,19866.0,,,,,,68.0,292.1,estimado_poblacion
1960,Adjuntas,19634.0,,,,,,68.0,288.7,estimado_poblacion
1961,Adjuntas,19539.0,,,,,,68.0,287.3,estimado_poblacion
1962,Adjuntas,19441.0,,,,,,68.0,285.9,estimado_poblacion
1963,Adjuntas,19344.0,,,,,,68.0,284.5,estimado_poblacion
1964,Adjuntas,19248.0,,,,,,68.0,283.1,estimado_poblacion
1965,Adjuntas,19149.0,,,,,,68.0,281.6,estimado_poblacion
1966,Adjuntas,19054.0,,,,,,68.0,280.2,estimado_poblacion
1967,Adjuntas,18956.0,,,,,,68.0,278.8,estimado_poblacion
1968,Adjuntas,18861.0,,,,,,68.0,277.4,estimado_poblacion
1969,Adjuntas,18766.0,,,,,,68.0,276.0,estimado_poblacion
1970,Adjuntas,18695.0,72.0,1800.0,22.0,3.0,31.0,68.0,274.9,censo_decenal
1971,Adjuntas,18704.0,71.6,2070.0,22.0,3.3,31.3,68.0,275.1,estimado_anual
1972,Adjuntas,18713.0,71.2,2340.0,22.0,3.6,31.6,68.0,275.2,estimado_anual
1973,Adjuntas,18719.0,70.8,2610.0,22.0,3.9,31.9,68.0,275.3,estimado_anual
1974,Adjuntas,18731.0,70.4,2880.0,22.0,4.2,32.2,68.0,275.5,estimado_anual
1975,Adjuntas,18740.0,70.0,3150.0,22.0,4.5,32.5,68.0,275.6,estimado_anual
1976,Adjuntas,18749.0,69.6,3420.0,22.0,4.8,32.8,68.0,275.7,estimado_anual
1977,Adjuntas,18761.0,69.2,3690.0,22.0,5.1,33.1,68.0,275.9,estimado_anual
1978,Adjuntas,18769.0,68.8,3960.0,22.0,5.4,33.4,68.0,276.0,estimado_anual
1979,Adjuntas,18778.0,68.4,4230.0,22.0,5.7,33.7,68.0,276.1,estimado_anual
1980,Adjuntas,18797.0,68.0,4500.0,22.0,6.0,34.0,68.0,276.4,censo_decenal
1981,Adjuntas,18842.0,67.7,4860.0,21.9,6.3,34.3,68.0,277.1,estimado_anual
1982,Adjuntas,18892.0,67.4,5220.0,21.8,6.6,34.6,68.0,277.8,estimado_anual
1983,Adjuntas,18944.0,67.1,5580.0,21.7,6.9,34.9,68.0,278.6,estimado_anual
1984,Adjuntas,19004.0,66.8,5940.0,21.6,7.2,35.2,68.0,279.5,estimado_anual
1985,Adjuntas,19069.0,66.5,6300.0,21.5,7.5,35.5,68.0,280.4,estimado_anual
1986,Adjuntas,19140.0,66.2,6660.0,21.4,7.8,35.8,68.0,281.5,estimado_anual
1987,Adjuntas,19216.0,65.9,7020.0,21.3,8.1,36.1,68.0,282.6,estimado_anual
1988,Adjuntas,19295.0,65.6,7380.0,21.2,8.4,36.4,68.0,283.8,estimado_anual
1989,Adjuntas,19384.0,65.3,7740.0,21.1,8.7,36.7,68.0,285.1,estimado_anual
1990,Adjuntas,19436.0,65.0,8100.0,21.0,9.0,37.0,68.0,285.8,censo_decenal
1991,Adjuntas,19382.0,64.8,8570.0,20.8,9.3,37.3,68.0,285.0,estimado_anual
1992,Adjuntas,19329.0,64.6,9040.0,20.6,9.6,37.6,68.0,284.2,estimado_anual
1993,Adjuntas,19288.0,64.4,9510.0,20.4,9.9,37.9,68.0,283.6,estimado_anual
1994,Adjuntas,19250.0,64.2,9980.0,20.2,10.2,38.2,68.0,283.1,estimado_anual
1995,Adjuntas,19217.0,64.0,10450.0,20.0,10.5,38.5,68.0,282.6,estimado_anual
1996,Adjuntas,19189.0,63.8,10920.0,19.8,10.8,38.8,68.0,282.2,estimado_anual
1997,Adjuntas,19172.0,63.6,11390.0,19.6,11.1,39.1,68.0,281.9,estimado_anual
1998,Adjuntas,19154.0,63.4,11860.0,19.4,11.4,39.4,68.0,281.7,estimado_anual
1999,Adjuntas,19147.0,63.2,12330.0,19.2,11.7,39.7,68.0,281.6,estimado_anual
2000,Adjuntas,19159.0,63.0,12800.0,19.0,12.0,40.0,68.0,281.8,censo_decenal
2001,Adjuntas,19284.0,62.8,12840.0,19.0,12.2,40.3,68.0,283.6,estimado_anual
2002,Adjuntas,19402.0,62.6,12880.0,19.0,12.4,40.6,68.0,285.3,estimado_anual
2003,Adjuntas,19484.0,62.4,12920.0,19.0,12.6,40.9,68.0,286.5,estimado_anual
2004,Adjuntas,19568.0,62.2,12960.0,19.0,12.8,41.2,68.0,287.8,estimado_anual
2005,Adjuntas,19630.0,62.0,13000.0,19.0,13.0,41.5,68.0,288.7,estimado_anual
2006,Adjuntas,19620.0,61.8,13040.0,19.0,13.2,41.8,68.0,288.5,estimado_anual
2007,Adjuntas,19584.0,61.6,13080.0,19.0,13.4,42.1,68.0,288.0,estimado_anual
2008,Adjuntas,19546.0,61.4,13120.0,19.0,13.6,42.4,68.0,287.4,estimado_anual
2009,Adjuntas,19501.0,61.2,13160.0,19.0,13.8,42.7,68.0,286.8,estimado_anual
2010,Adjuntas,19492.0,61.0,13200.0,19.0,14.0,43.0,68.0,286.6,censo_decenal
2011,Adjuntas,19394.0,60.8,13221.1,18.9,14.1,43.1,68.0,285.2,estimado_anual
2012,Adjuntas,19293.0,60.6,13242.2,18.8,14.2,43.2,68.0,283.7,estimado_anual
2013,Adjuntas,19275.0,60.4,13263.3,18.7,14.3,43.3,68.0,283.5,estimado_anual
2014,Adjuntas,19127.0,60.2,13284.4,18.6,14.4,43.4,68.0,281.3,estimado_anual
2015,Adjuntas,18979.0,60.0,13305.5,18.5,14.5,43.5,68.0,279.1,estimado_anual
2016,Adjuntas,18795.0,59.8,13326.6,18.4,14.6,43.6,68.0,276.4,estimado_anual
2017,Adjuntas,18503.0,59.6,13347.7,18.3,14.7,43.7,68.0,272.1,estimado_anual
2018,Adjuntas,17928.0,59.4,13368.8,18.2,14.8,43.8,68.0,263.6,estimado_anual
2019,Adjuntas,18056.0,59.2,13389.9,18.1,14.9,43.9,68.0,265.5,estimado_anual
2020,Adjuntas,18008.0,59.0,13411.0,18.0,15.0,44.0,68.0,264.8,censo_decenal
2021,Adjuntas,18012.0,58.8,13432.1,17.9,15.1,44.1,68.0,264.9,estimado_anual
2022,Adjuntas,17892.0,58.6,13453.2,17.8,15.2,44.2,68.0,263.1,estimado_anual
2023,Adjuntas,17879.0,58.4,13474.3,17.7,15.3,44.3,68.0,262.9,estimado_anual
2024,Adjuntas,17982.0,58.2,13495.4,17.6,15.4,44.4,68.0,264.4,estimado_anual
2025,Adjuntas,17994.0,58.0,13516.5,17.5,15.5,44.5,68.0,264.6,estimado_anual
1950,Aguada,20803.0,,,,,,79.3,262.3,estimado_poblacion
1951,Aguada,21055.0,,,,,,79.3,265.5,estimado_poblacion
1952,Aguada,21304.0,,,,,,79.3,268.7,estimado_poblacion
1953,Aguada,21551.0,,,,,,79.3,271.8,estimado_poblacion
1954,Aguada,21807.0,,,,,,79.3,275.0,estimado_poblacion
1955,Aguada,22045.0,,,,,,79.3,278.0,estimado_poblacion
1956,Aguada,22296.0,,,,,,79.3,281.2,estimado_poblacion
1957,Aguada,22548.0,,,,,,79.3,284.3,estimado_poblacion
1958,Aguada,22799.0,,,,,,79.3,287.5,estimado_poblacion
1959,Aguada,23049.0,,,,,,79.3,290.7,estimado_poblacion
1960,Aguada,23295.0,,,,,,79.3,293.8,estimado_poblacion
1961,Aguada,23535.0,,,,,,79.3,296.8,estimado_poblacion
1962,Aguada,23780.0,,,,,,79.3,299.9,estimado_poblacion
1963,Aguada,24022.0,,,,,,79.3,302.9,estimado_poblacion
1964,Aguada,24262.0,,,,,,79.3,306.0,estimado_poblacion
1965,Aguada,24510.0,,,,,,79.3,309.1,estimado_poblacion
1966,Aguada,24750.0,,,,,,79.3,312.1,estimado_poblacion
1967,Aguada,24990.0,,,,,,79.3,315.1,estimado_poblacion
1968,Aguada,25231.0,,,,,,79.3,318.2,estimado_poblacion
1969,Aguada,25478.0,,,,,,79.3,321.3,estimado_poblacion
1970,Aguada,25803.0,62.0,2100.0,17.0,5.0,27.0,79.3,325.4,censo_decenal
1971,Aguada,26397.0,61.5,2410.0,17.0,5.4,27.3,79.3,332.9,estimado_anual
1972,Aguada,26988.0,61.0,2720.0,17.0,5.8,27.6,79.3,340.3,estimado_anual
1973,Aguada,27578.0,60.5,3030.0,17.0,6.2,27.9,79.3,347.8,estimado_anual
1974,Aguada,28170.0,60.0,3340.0,17.0,6.6,28.2,79.3,355.2,estimado_anual
1975,Aguada,28759.0,59.5,3650.0,17.0,7.0,28.5,79.3,362.7,estimado_anual
1976,Aguada,29353.0,59.0,3960.0,17.0,7.4,28.8,79.3,370.2,estimado_anual
1977,Aguada,29941.0,58.5,4270.0,17.0,7.8,29.1,79.3,377.6,estimado_anual
1978,Aguada,30529.0,58.0,4580.0,17.0,8.2,29.4,79.3,385.0,estimado_anual
1979,Aguada,31122.0,57.5,4890.0,17.0,8.6,29.7,79.3,392.5,estimado_anual
1980,Aguada,31650.0,57.0,5200.0,17.0,9.0,30.0,79.3,399.1,censo_decenal
1981,Aguada,32001.0,56.6,5620.0,16.8,9.3,30.3,79.3,403.5,estimado_anual
1982,Aguada,32368.0,56.2,6040.0,16.6,9.6,30.6,79.3,408.2,estimado_anual
1983,Aguada,32755.0,55.8,6460.0,16.4,9.9,30.9,79.3,413.1,estimado_anual
1984,Aguada,33160.0,55.4,6880.0,16.2,10.2,31.2,79.3,418.2,estimado_anual
1985,Aguada,33586.0,55.0,7300.0,16.0,10.5,31.5,79.3,423.5,estimado_anual
1986,Aguada,34033.0,54.6,7720.0,15.8,10.8,31.8,79.3,429.2,estimado_anual
1987,Aguada,34503.0,54.2,8140.0,15.6,11.1,32.1,79.3,435.1,estimado_anual
1988,Aguada,34994.0,53.8,8560.0,15.4,11.4,32.4,79.3,441.3,estimado_anual
1989,Aguada,35508.0,53.4,8980.0,15.2,11.7,32.7,79.3,447.8,estimado_anual
1990,Aguada,36038.0,53.0,9400.0,15.0,12.0,33.0,79.3,454.5,censo_decenal
1991,Aguada,36554.0,52.6,10080.0,14.8,12.3,33.3,79.3,461.0,estimado_anual
1992,Aguada,37091.0,52.2,10760.0,14.6,12.6,33.6,79.3,467.7,estimado_anual
1993,Aguada,37652.0,51.8,11440.0,14.4,12.9,33.9,79.3,474.8,estimado_anual
1994,Aguada,38231.0,51.4,12120.0,14.2,13.2,34.2,79.3,482.1,estimado_anual
1995,Aguada,38835.0,51.0,12800.0,14.0,13.5,34.5,79.3,489.7,estimado_anual
1996,Aguada,39462.0,50.6,13480.0,13.8,13.8,34.8,79.3,497.6,estimado_anual
1997,Aguada,40112.0,50.2,14160.0,13.6,14.1,35.1,79.3,505.8,estimado_anual
1998,Aguada,40792.0,49.8,14840.0,13.4,14.4,35.4,79.3,514.4,estimado_anual
1999,Aguada,41497.0,49.4,15520.0,13.2,14.7,35.7,79.3,523.3,estimado_anual
2000,Aguada,42110.0,49.0,16200.0,13.0,15.0,36.0,79.3,531.0,censo_decenal
2001,Aguada,42313.0,48.9,16320.0,13.0,15.2,36.1,79.3,533.6,estimado_anual
2002,Aguada,42455.0,48.8,16440.0,13.0,15.4,36.2,79.3,535.4,estimado_anual
2003,Aguada,42564.0,48.7,16560.0,13.0,15.6,36.3,79.3,536.7,estimado_anual
2004,Aguada,42664.0,48.6,16680.0,13.0,15.8,36.4,79.3,538.0,estimado_anual
2005,Aguada,42672.0,48.5,16800.0,13.0,16.0,36.5,79.3,538.1,estimado_anual
2006,Aguada,42571.0,48.4,16920.0,13.0,16.2,36.6,79.3,536.8,estimado_anual
2007,Aguada,42389.0,48.3,17040.0,13.0,16.4,36.7,79.3,534.5,estimado_anual
2008,Aguada,42219.0,48.2,17160.0,13.0,16.6,36.8,79.3,532.4,estimado_anual
2009,Aguada,42070.0,48.1,17280.0,13.0,16.8,36.9,79.3,530.5,estimado_anual
2010,Aguada,41955.0,48.0,17400.0,13.0,17.0,37.0,79.3,529.1,censo_decenal
2011,Aguada,41745.0,47.8,17435.2,13.0,17.1,37.2,79.3,526.4,estimado_anual
2012,Aguada,41488.0,47.6,17470.4,13.0,17.2,37.4,79.3,523.2,estimado_anual
2013,Aguada,41263.0,47.4,17505.6,13.0,17.3,37.6,79.3,520.3,estimado_anual
2014,Aguada,40859.0,47.2,17540.8,13.0,17.4,37.8,79.3,515.2,estimado_anual
2015,Aguada,40445.0,47.0,17576.0,13.0,17.5,38.0,79.3,510.0,estimado_anual
2016,Aguada,39969.0,46.8,17611.2,13.0,17.6,38.2,79.3,504.0,estimado_anual
2017,Aguada,39260.0,46.6,17646.4,13.0,17.7,38.4,79.3,495.1,estimado_anual
2018,Aguada,38023.0,46.4,17681.6,13.0,17.8,38.6,79.3,479.5,estimado_anual
2019,Aguada,38248.0,46.2,17716.8,13.0,17.9,38.8,79.3,482.3,estimado_anual
2020,Aguada,38096.0,46.0,17752.0,13.0,18.0,39.0,79.3,480.4,censo_decenal
2021,Aguada,37982.0,45.8,17787.2,13.0,18.1,39.2,79.3,479.0,estimado_anual
2022,Aguada,37613.0,45.6,17822.4,13.0,18.2,39.4,79.3,474.3,estimado_anual
2023,Aguada,37470.0,45.4,17857.6,13.0,18.3,39.6,79.3,472.5,estimado_anual
2024,Aguada,37471.0,45.2,17892.8,13.0,18.4,39.8,79.3,472.5,estimado_anual
2025,Aguada,37319.0,45.0,17928.0,13.0,18.5,40.0,79.3,470.6,estimado_anual
1950,Aguadilla,44445.0,,,,,,101.5,437.9,estimado_poblacion
1951,Aguadilla,44793.0,,,,,,101.5,441.3,estimado_poblacion
1952,Aguadilla,45148.0,,,,,,101.5,444.8,estimado_poblacion
1953,Aguadilla,45496.0,,,,,,101.5,448.2,estimado_poblacion
1954,Aguadilla,45846.0,,,,,,101.5,451.7,estimado_poblacion
1955,Aguadilla,46197.0,,,,,,101.5,455.1,estimado_poblacion
1956,Aguadilla,46548.0,,,,,,101.5,458.6,estimado_poblacion
1957,Aguadilla,46901.0,,,,,,101.5,462.1,estimado_poblacion
1958,Aguadilla,47249.0,,,,,,101.5,465.5,estimado_poblacion
1959,Aguadilla,47599.0,,,,,,101.5,469.0,estimado_poblacion
1960,Aguadilla,47953.0,,,,,,101.5,472.4,estimado_poblacion
1961,Aguadilla,48300.0,,,,,,101.5,475.9,estimado_poblacion
1962,Aguadilla,48651.0,,,,,,101.5,479.3,estimado_poblacion
1963,Aguadilla,48996.0,,,,,,101.5,482.7,estimado_poblacion
1964,Aguadilla,49345.0,,,,,,101.5,486.2,estimado_poblacion
1965,Aguadilla,49697.0,,,,,,101.5,489.6,estimado_poblacion
1966,Aguadilla,50047.0,,,,,,101.5,493.1,estimado_poblacion
1967,Aguadilla,50397.0,,,,,,101.5,496.5,estimado_poblacion
1968,Aguadilla,50743.0,,,,,,101.5,499.9,estimado_poblacion
1969,Aguadilla,51094.0,,,,,,101.5,503.4,estimado_poblacion
1970,Aguadilla,51434.0,63.0,2200.0,18.0,6.0,27.0,101.5,506.7,censo_decenal
1971,Aguadilla,51761.0,62.4,2540.0,18.0,6.5,27.3,101.5,510.0,estimado_anual
1972,Aguadilla,52088.0,61.8,2880.0,18.0,7.0,27.6,101.5,513.2,estimado_anual
1973,Aguadilla,52411.0,61.2,3220.0,18.0,7.5,27.9,101.5,516.4,estimado_anual
1974,Aguadilla,52736.0,60.6,3560.0,18.0,8.0,28.2,101.5,519.6,estimado_anual
1975,Aguadilla,53061.0,60.0,3900.0,18.0,8.5,28.5,101.5,522.8,estimado_anual
1976,Aguadilla,53387.0,59.4,4240.0,18.0,9.0,28.8,101.5,526.0,estimado_anual
1977,Aguadilla,53715.0,58.8,4580.0,18.0,9.5,29.1,101.5,529.2,estimado_anual
1978,Aguadilla,54034.0,58.2,4920.0,18.0,10.0,29.4,101.5,532.4,estimado_anual
1979,Aguadilla,54360.0,57.6,5260.0,18.0,10.5,29.7,101.5,535.6,estimado_anual
1980,Aguadilla,54704.0,57.0,5600.0,18.0,11.0,30.0,101.5,539.0,censo_decenal
1981,Aguadilla,55101.0,56.6,6020.0,17.8,11.3,30.3,101.5,542.9,estimado_anual
1982,Aguadilla,55523.0,56.2,6440.0,17.6,11.6,30.6,101.5,547.0,estimado_anual
1983,Aguadilla,55954.0,55.8,6860.0,17.4,11.9,30.9,101.5,551.3,estimado_anual
1984,Aguadilla,56402.0,55.4,7280.0,17.2,12.2,31.2,101.5,555.7,estimado_anual
1985,Aguadilla,56870.0,55.0,7700.0,17.0,12.5,31.5,101.5,560.3,estimado_anual
1986,Aguadilla,57355.0,54.6,8120.0,16.8,12.8,31.8,101.5,565.1,estimado_anual
1987,Aguadilla,57856.0,54.2,8540.0,16.6,13.1,32.1,101.5,570.0,estimado_anual
1988,Aguadilla,58376.0,53.8,8960.0,16.4,13.4,32.4,101.5,575.1,estimado_anual
1989,Aguadilla,58916.0,53.4,9380.0,16.2,13.7,32.7,101.5,580.5,estimado_anual
1990,Aguadilla,59448.0,53.0,9800.0,16.0,14.0,33.0,101.5,585.7,censo_decenal
1991,Aguadilla,59906.0,52.7,10430.0,15.9,14.4,33.3,101.5,590.2,estimado_anual
1992,Aguadilla,60382.0,52.4,11060.0,15.8,14.8,33.6,101.5,594.9,estimado_anual
1993,Aguadilla,60872.0,52.1,11690.0,15.7,15.2,33.9,101.5,599.7,estimado_anual
1994,Aguadilla,61384.0,51.8,12320.0,15.6,15.6,34.2,101.5,604.8,estimado_anual
1995,Aguadilla,61912.0,51.5,12950.0,15.5,16.0,34.5,101.5,610.0,estimado_anual
1996,Aguadilla,62460.0,51.2,13580.0,15.4,16.4,34.8,101.5,615.4,estimado_anual
1997,Aguadilla,63025.0,50.9,14210.0,15.3,16.8,35.1,101.5,620.9,estimado_anual
1998,Aguadilla,63608.0,50.6,14840.0,15.2,17.2,35.4,101.5,626.7,estimado_anual
1999,Aguadilla,64219.0,50.3,15470.0,15.1,17.6,35.7,101.5,632.7,estimado_anual
2000,Aguadilla,64701.0,50.0,16100.0,15.0,18.0,36.0,101.5,637.4,censo_decenal
2001,Aguadilla,64564.0,49.9,16180.0,15.0,18.2,36.1,101.5,636.1,estimado_anual
2002,Aguadilla,64412.0,49.8,16260.0,15.0,18.4,36.2,101.5,634.6,estimado_anual
2003,Aguadilla,64206.0,49.7,16340.0,15.0,18.6,36.3,101.5,632.6,estimado_anual
2004,Aguadilla,63962.0,49.6,16420.0,15.0,18.8,36.4,101.5,630.2,estimado_anual
2005,Aguadilla,63629.0,49.5,16500.0,15.0,19.0,36.5,101.5,626.9,estimado_anual
